institucion,sexo,fecha_nacimiento,cod_persona,nombre,apellido,area,salario,mail,socio
St. Mokaroo,F,22/08/1982,14-258-3976,Meggie,Dulson,Accounting,1924,mdulsondl@goo.gl,1
Blue Light,M,12/05/1989,06-258-3704,Eldredge,Dickman,Sales,889,edickmandm@hostgator.com,1
ASFE,M,09/11/1988,03-744-0931,Thorndike,Ferneley,Accounting,2637,tferneleydn@nbcnews.com,1
RedHat Hospital,M,30/07/1985,09-345-9333,Flemming,Thonger,Marketing,1466,fthongerdo@live.com,0
ASFE,M,24/08/1982,79-359-5014,Ezekiel,Evershed,Marketing,336,eeversheddp@yelp.com,1
St. Mokaroo,M,14/08/1990,16-434-4541,Chancey,Larmouth,Human Resources,482,clarmouthdq@omniture.com,0
St. Mokaroo,F,09/12/1988,05-644-5335,Kariotta,Sullly,Training,3179,ksulllydr@cmu.edu,1
RedHat Hospital,F,02/10/1983,28-231-9423,Dorthea,Brachell,Research and Development,3264,dbrachellds@xinhuanet.com,1
ASFE,M,09/06/1988,55-802-3728,Sigismundo,Postlewhite,Business Development,3277,spostlewhitedt@people.com.cn,0
St. Mokaroo,M,08/02/1989,31-495-9742,Martin,Shieldon,Accounting,1597,mshieldondu@tamu.edu,0
Blue Light,F,24/04/1990,00-887-8472,Tersina,Kennedy,Research and Development,3143,tkennedydv@earthlink.net,1
RedHat Hospital,F,06/11/1981,30-080-6704,Chiquia,Laughtisse,Human Resources,2272,claughtissedw@ibm.com,0
RedHat Hospital,M,30/07/1986,21-685-4619,Krispin,Riccardo,Legal,291,kriccardodx@bloglovin.com,0
St. Mokaroo,M,21/04/1989,60-967-9664,Tiler,Basek,Support,4261,tbasekdy@google.com.br,1
ASFE,F,21/02/1984,57-365-8275,Selie,Gwyllt,Human Resources,3810,sgwylltdz@marriott.com,1
RedHat Hospital,F,05/11/1981,04-531-3076,Noelle,McIlharga,Business Development,3392,nmcilhargae0@163.com,1
Blue Light,M,19/12/1981,73-262-6537,Chickie,Wilkinson,Legal,4230,cwilkinsone1@csmonitor.com,0
RedHat Hospital,F,07/11/1983,85-864-6695,Raine,Santi,Training,3741,rsantie2@amazon.de,1
ASFE,F,25/01/1990,27-556-8753,Kayle,Pittock,Engineering,1653,kpittocke3@pbs.org,0
ASFE,F,20/10/1983,33-410-9628,Selestina,Enever,Marketing,3963,senevere4@i2i.jp,1
ASFE,M,12/12/1986,09-633-8611,Marietta,Josebury,Business Development,1355,mjoseburye5@scribd.com,0
RedHat Hospital,M,29/05/1983,96-058-5888,Baillie,Skipsea,Research and Development,1849,bskipseae6@senate.gov,1
Blue Light,F,17/10/1990,65-768-2622,Star,Dibbe,Training,1349,sdibbee7@independent.co.uk,0
RedHat Hospital,F,16/01/1986,12-794-0790,Jana,Lillecrop,Product Management,3374,jlillecrope8@surveymonkey.com,0
ASFE,F,27/05/1984,13-028-5518,Elladine,Klulisek,Accounting,2401,ekluliseke9@dailymotion.com,1
St. Mokaroo,M,17/11/1983,54-039-8098,Billy,Element,Accounting,887,belementea@ask.com,0
RedHat Hospital,M,20/04/1983,52-826-6918,Dugald,Osmar,Legal,3273,dosmareb@aboutads.info,0
ASFE,M,01/11/1987,59-498-7111,Riccardo,Le Gassick,Legal,4475,rlegassickec@sbwire.com,0
St. Mokaroo,M,11/12/1988,44-870-3739,Kaleb,Kemmis,Human Resources,1760,kkemmised@hexun.com,0
Blue Light,F,30/10/1982,26-462-2057,Ginevra,Gulc,Sales,952,ggulcee@economist.com,1
St. Mokaroo,M,24/11/1985,29-415-8317,Sterne,Guwer,Services,3609,sguweref@walmart.com,1
St. Mokaroo,F,10/09/1983,36-619-7248,Ardis,Redman,Accounting,3903,aredmaneg@weibo.com,1
St. Mokaroo,M,10/09/1988,12-274-3809,Cory,Worsalls,Sales,1202,cworsallseh@ehow.com,0
RedHat Hospital,M,20/01/1986,03-679-3940,Owen,Bielefeld,Services,233,obielefeldei@unesco.org,1
Blue Light,F,24/07/1986,20-844-1166,Nelia,Arnall,Business Development,4098,narnallej@zimbio.com,0
St. Mokaroo,F,01/03/1983,71-329-3865,Myra,Bodycote,Sales,168,mbodycoteek@scientificamerican.com,0
St. Mokaroo,M,23/10/1981,70-405-9907,Felix,Blevin,Training,2864,fblevinel@tinyurl.com,0
St. Mokaroo,F,27/08/1990,01-264-9045,Nonna,Woodthorpe,Sales,624,nwoodthorpeem@rakuten.co.jp,0
ASFE,F,22/04/1986,66-654-8202,Marian,Knotte,Research and Development,1829,mknotteen@desdev.cn,0
ASFE,F,12/02/1986,19-289-7879,Emalia,Mapam,Services,550,emapameo@photobucket.com,0
Blue Light,F,11/11/1983,43-212-7226,Fredra,Wensley,Training,3472,fwensleyep@issuu.com,1
St. Mokaroo,F,14/01/1982,86-950-3200,Helen,Stogill,Product Management,574,hstogilleq@illinois.edu,0
St. Mokaroo,M,28/06/1987,24-224-5881,Pat,Hayball,Engineering,1875,phayballer@google.pl,0
Blue Light,M,02/08/1989,83-671-2137,Powell,Pawley,Marketing,1334,ppawleyes@un.org,0
ASFE,M,11/02/1984,95-444-0018,Nico,Bellenger,Human Resources,2675,nbellengeret@phpbb.com,0
ASFE,M,17/05/1986,20-869-3184,Chadwick,Chatenier,Business Development,313,cchateniereu@google.co.uk,1
St. Mokaroo,F,15/06/1988,80-387-6439,Kassey,Durston,Training,2965,kdurstonev@moonfruit.com,1
ASFE,F,27/08/1987,48-621-9717,Ronnie,Kiddey,Product Management,4403,rkiddeyew@patch.com,0
RedHat Hospital,F,01/06/1981,95-918-9464,Ariella,Halbard,Research and Development,2204,ahalbardex@canalblog.com,0
Blue Light,F,14/04/1990,77-866-4006,Gabey,Lewendon,Research and Development,1933,glewendoney@weebly.com,0
St. Mokaroo,M,31/03/1989,85-350-9644,Ives,Tellwright,Accounting,3057,itellwrightez@japanpost.jp,0
ASFE,F,13/04/1989,93-119-8773,Sonja,Friday,Support,2462,sfridayf0@canalblog.com,0
St. Mokaroo,F,20/08/1982,84-509-6126,Cloris,Brownsall,Training,3830,cbrownsallf1@elpais.com,1
ASFE,M,27/07/1989,61-700-9154,Tommie,Bumphries,Sales,4403,tbumphriesf2@homestead.com,1
ASFE,F,30/10/1985,81-715-0057,Chad,Desforges,Legal,2877,cdesforgesf3@joomla.org,0
RedHat Hospital,F,01/02/1986,94-866-3716,Adore,Bitten,Human Resources,1413,abittenf4@flavors.me,1
Blue Light,F,19/01/1983,69-798-7107,Ranice,Lyngsted,Product Management,3587,rlyngstedf5@t.co,0
RedHat Hospital,F,11/06/1984,03-255-9296,Dehlia,Topes,Human Resources,3307,dtopesf6@simplemachines.org,1
Blue Light,F,06/11/1990,74-211-8041,Marita,Bare,Accounting,3866,mbaref7@upenn.edu,1
RedHat Hospital,F,06/03/1981,46-461-2110,Noell,Darridon,Research and Development,269,ndarridonf8@epa.gov,0
Blue Light,F,28/02/1987,70-407-1437,Elisabetta,O'Malley,Sales,426,eomalleyf9@sciencedaily.com,1
Blue Light,M,21/09/1987,50-508-3138,Gawen,Talman,Support,2650,gtalmanfa@go.com,1
St. Mokaroo,M,22/04/1983,56-239-8728,Emile,Boss,Product Management,4020,ebossfb@spotify.com,1
St. Mokaroo,F,29/04/1986,57-450-1473,Louisette,Varley,Product Management,2204,lvarleyfc@wiley.com,0
Blue Light,M,26/02/1990,64-756-9373,Harlin,Dumbelton,Legal,2537,hdumbeltonfd@meetup.com,0
Blue Light,M,17/05/1981,03-209-4909,Sauncho,Ballintyne,Research and Development,3814,sballintynefe@shutterfly.com,1
Blue Light,M,12/10/1981,12-113-7401,Ingmar,Anderson,Marketing,176,iandersonff@symantec.com,0
St. Mokaroo,F,02/08/1983,66-883-8994,Abra,Crellin,Training,733,acrellinfg@prlog.org,1
St. Mokaroo,F,30/08/1984,28-440-3565,Julietta,Berzins,Product Management,3787,jberzinsfh@uol.com.br,1
RedHat Hospital,F,27/02/1990,42-001-5025,Celesta,Leblanc,Marketing,3666,cleblancfi@hibu.com,1
ASFE,M,17/10/1984,00-261-7569,Lenard,O'Fogerty,Research and Development,2775,lofogertyfj@yellowpages.com,1
St. Mokaroo,M,21/06/1985,64-065-3796,Leonidas,Marples,Research and Development,1433,lmarplesfk@prweb.com,1
ASFE,F,16/01/1990,10-634-7042,Cindie,Vassano,Training,1908,cvassanofl@craigslist.org,0
RedHat Hospital,M,15/02/1984,76-414-0674,Alvy,Tyt,Research and Development,3313,atytfm@dell.com,1
RedHat Hospital,F,10/05/1981,70-092-4759,Bonni,Kilpin,Engineering,2366,bkilpinfn@go.com,0
St. Mokaroo,M,16/08/1990,01-932-9702,Bron,Riccelli,Training,3409,briccellifo@e-recht24.de,0
Blue Light,M,30/01/1988,40-049-7517,Salomo,Izakovitz,Legal,3071,sizakovitzfp@ftc.gov,1
RedHat Hospital,F,15/03/1988,99-606-0323,Gratiana,Margach,Research and Development,3392,gmargachfq@google.nl,0
St. Mokaroo,M,29/10/1987,75-238-0640,Daron,Dowthwaite,Marketing,2253,ddowthwaitefr@123-reg.co.uk,1
Blue Light,F,09/01/1990,49-621-0860,Evania,Clemas,Business Development,2864,eclemasfs@utexas.edu,0
Blue Light,F,15/01/1990,27-541-9620,Livvie,Robichon,Human Resources,4122,lrobichonft@bluehost.com,0
Blue Light,F,07/06/1990,93-751-6710,Bella,Hawking,Product Management,4043,bhawkingfu@pinterest.com,0
St. Mokaroo,M,18/04/1986,72-459-3303,Harp,Fitzroy,Accounting,2665,hfitzroyfv@wikimedia.org,1
St. Mokaroo,F,25/12/1986,77-316-2618,Kristine,Samson,Engineering,4240,ksamsonfw@pagesperso-orange.fr,0
Blue Light,M,11/07/1987,74-249-8911,Tucky,Gilstoun,Human Resources,1084,tgilstounfx@patch.com,0
ASFE,M,31/08/1986,64-384-1973,Maison,Browse,Accounting,3690,mbrowsefy@hc360.com,0
Blue Light,F,21/02/1989,76-016-0791,Tallou,Clench,Support,1737,tclenchfz@google.cn,0
RedHat Hospital,M,02/03/1983,50-281-7488,Moises,De Malchar,Sales,3284,mdemalcharg0@bbb.org,0
St. Mokaroo,M,26/06/1981,16-544-0751,Allistir,McCandie,Business Development,435,amccandieg1@wordpress.com,1
St. Mokaroo,M,02/02/1987,17-385-6251,Boyce,Cathersides,Sales,2462,bcathersidesg2@cargocollective.com,1
ASFE,M,17/10/1984,39-016-9524,Talbert,Piatto,Legal,3631,tpiattog3@earthlink.net,1
RedHat Hospital,M,12/07/1982,83-968-7651,Chev,Radenhurst,Product Management,1760,cradenhurstg4@globo.com,1
St. Mokaroo,F,06/08/1985,29-724-6055,George,Duncklee,Training,2452,gdunckleeg5@feedburner.com,0
ASFE,F,09/06/1983,17-224-0055,Olly,Piell,Support,3050,opiellg6@pinterest.com,1
St. Mokaroo,F,07/04/1982,31-959-4045,Jacinthe,Slides,Business Development,1545,jslidesg7@dell.com,0
Blue Light,F,28/07/1985,55-000-9483,Onida,Macenzy,Training,3297,omacenzyg8@vk.com,0
St. Mokaroo,F,08/07/1985,42-787-9060,Lissie,Jacobs,Legal,4287,ljacobsg9@istockphoto.com,0
St. Mokaroo,M,18/07/1987,67-525-8027,Mic,Rodwell,Legal,2981,mrodwellga@cafepress.com,1
Blue Light,M,13/03/1989,67-545-3407,Barnett,Gilpin,Support,3174,bgilpingb@uiuc.edu,0
St. Mokaroo,F,27/11/1988,68-180-1570,Asia,Bantock,Human Resources,3695,abantockgc@ameblo.jp,0
RedHat Hospital,M,07/12/1980,97-444-9448,Cordy,Inchbald,Accounting,2072,cinchbaldgd@utexas.edu,0
RedHat Hospital,F,17/03/1981,13-727-4507,Carree,Dassindale,Business Development,2235,cdassindalege@senate.gov,1
RedHat Hospital,M,22/10/1988,01-472-6592,Andreas,O'Crowley,Product Management,493,aocrowleygf@netlog.com,0
Blue Light,F,23/11/1980,85-608-4819,Lottie,Orvis,Training,1952,lorvisgg@ebay.co.uk,1
ASFE,M,29/12/1980,27-031-0257,Chalmers,Iannazzi,Training,4199,ciannazzigh@blogger.com,1
ASFE,F,25/05/1984,12-341-5867,Lenore,Sparsholt,Services,3197,lsparsholtgi@photobucket.com,1
RedHat Hospital,M,31/03/1985,73-034-7118,Thatcher,Bastistini,Business Development,430,tbastistinigj@nytimes.com,1
ASFE,M,06/01/1990,32-760-3521,Archibaldo,Cutmore,Accounting,3531,acutmoregk@scientificamerican.com,0
Blue Light,M,07/04/1984,00-218-0111,Gearalt,Goodison,Product Management,3638,ggoodisongl@plala.or.jp,1
Blue Light,F,13/02/1986,10-465-8501,Carmon,Wadmore,Business Development,2500,cwadmoregm@dropbox.com,0
Blue Light,M,19/10/1983,62-864-2093,Sammy,Glander,Legal,3776,sglandergn@mashable.com,1
St. Mokaroo,M,15/11/1981,87-327-1233,Chaim,Epsly,Sales,1653,cepslygo@yale.edu,1
RedHat Hospital,M,30/05/1982,51-442-1500,Briano,Farragher,Research and Development,1052,bfarraghergp@xrea.com,0
RedHat Hospital,F,16/10/1990,53-731-9229,Mozelle,Medina,Support,1623,mmedinagq@ox.ac.uk,0
Blue Light,M,02/07/1988,24-875-1369,Brennen,Dugood,Accounting,264,bdugoodgr@hc360.com,1
Blue Light,M,04/03/1988,61-521-6586,Perren,Skippen,Human Resources,1786,pskippengs@a8.net,0
ASFE,M,09/06/1986,48-878-0666,Cristian,Mullett,Marketing,904,cmullettgt@tinyurl.com,1
Blue Light,F,03/06/1989,48-846-5697,Nelie,Leaf,Support,4085,nleafgu@discuz.net,0
St. Mokaroo,F,01/11/1986,18-508-7703,Carlynn,Spink,Business Development,1037,cspinkgv@xinhuanet.com,1
St. Mokaroo,M,07/07/1989,63-077-7404,Garv,Valero,Training,2224,gvalerogw@spotify.com,0
ASFE,M,09/07/1985,65-245-6161,Micah,Hitzke,Support,2271,mhitzkegx@about.com,1
Blue Light,F,02/11/1989,32-566-4390,Neile,Gadie,Human Resources,1245,ngadiegy@oakley.com,0
ASFE,M,05/03/1987,21-513-7600,Cletus,Slamaker,Engineering,332,cslamakergz@yellowpages.com,1
Blue Light,M,11/11/1988,20-656-1806,Karoly,Wall,Accounting,4226,kwallh0@upenn.edu,1
Blue Light,M,20/01/1987,02-882-6991,Rickert,Bartocci,Business Development,480,rbartoccih1@aboutads.info,0
St. Mokaroo,M,08/04/1987,17-493-3452,Darrick,Ducarne,Accounting,2053,dducarneh2@prweb.com,1
St. Mokaroo,F,20/10/1986,96-006-8590,Ysabel,Basketter,Human Resources,1808,ybasketterh3@arstechnica.com,1
Blue Light,M,16/11/1984,41-479-9979,Sanders,Stichel,Marketing,2174,sstichelh4@archive.org,1
RedHat Hospital,M,04/05/1986,72-996-8347,Curran,Sommerville,Business Development,2974,csommervilleh5@census.gov,1
ASFE,M,24/02/1989,23-981-4793,Freddy,Cheeseman,Legal,1357,fcheesemanh6@paypal.com,1
Blue Light,M,14/11/1980,76-439-6471,Alphard,Neate,Sales,1184,aneateh7@constantcontact.com,0
ASFE,M,06/01/1990,95-826-2598,Agosto,Garrard,Support,1292,agarrardh8@plala.or.jp,0
St. Mokaroo,M,21/06/1985,17-479-5192,Angie,Le Merchant,Product Management,4017,alemerchanth9@geocities.jp,1
Blue Light,F,11/09/1981,19-569-4694,Nell,Dregan,Accounting,3959,ndreganha@google.nl,1
